"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,"https://www.macrotrends.net/global-metrics/countries/EUU/european-union/gdp-gross-domestic-product#:~:text=European%20Union%20gdp%20for%202023,a%201.99%25%20decline%20from%202019."
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,
,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,
,,,,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change,,,
12/31/60,285.0730531,798.6422,,,,
12/31/61,316.8704104,880.3475,5.7551,,,
12/31/62,350.2218143,964.8016,5.695,,,
12/31/63,384.8216209,1050.9859,4.8077,,,
12/31/64,426.8577476,1155.583,6.0114,,,
12/31/65,467.0825055,1253.7989,5.2493,,,
12/31/66,505.7038624,1346.5215,4.2937,,,
12/31/67,538.4997608,1422.6733,3.5721,,,
12/31/68,577.998464,1515.9386,5.5641,,,
12/31/69,645.0426281,1679.98,7.025,,,
12/31/70,729.2302102,1888.6276,5.5083,,,
12/31/71,824.2884327,2123.1994,3.6609,,,
12/31/72,994.4013506,2544.1411,4.7738,,,
12/31/73,1286.732424,3270.9135,6.0185,,,
12/31/74,1456.74199,3680.6987,3.1258,,,
12/31/75,1696.431872,4261.3622,-0.5865,,,
12/31/76,1777.2031,4440.6612,4.877,,,
12/31/77,2012.781495,5004.7944,2.9293,,,
12/31/78,2451.545642,6067.3287,3.0665,,,
12/31/79,2962.558958,7299.1016,3.8577,,,
12/31/80,3314.876481,8129.4628,2.0524,,,
12/31/81,2893.85086,7066.9518,0.54,,,
12/31/82,2792.072843,6795.4266,0.8372,,,
12/31/83,2714.73732,6589.8607,1.4399,,,
12/31/84,2615.737658,6335.1725,2.4983,,,
12/31/85,2690.005731,6499.6871,2.3207,,,
12/31/86,3755.825285,9050.2568,2.5733,,,
12/31/87,4642.293245,11154.0164,2.5385,,,
12/31/88,5096.30731,12205.8901,4.1113,,,
12/31/89,5205.659078,12426.2087,3.8812,,,
12/31/90,6509.870875,15488.3025,3.305,,,
12/31/91,6733.632573,15966.1334,1.4194,,,
12/31/92,7392.186358,17476.7566,0.8878,,,
12/31/93,6751.222892,15909.6463,-0.6416,,,
12/31/94,7155.503336,16820.3764,2.6386,,,
12/31/95,8296.09125,19464.6996,2.6786,,,
12/31/96,8431.591142,19750.4199,1.8814,,,
12/31/97,7733.843716,18088.7709,2.6532,,,
12/31/98,7969.880728,18615.8962,3.0108,,,
12/31/99,7925.844561,18482.5401,2.9487,,,
12/31/00,7276.390687,16947.7549,3.9005,,,
12/31/01,7393.611977,17198.0404,2.1759,,,
12/31/02,8083.519738,18759.6997,1.1108,,,
12/31/03,9932.13472,22967.9353,0.9083,,,
12/31/04,11418.90028,26307.1979,2.5925,,,
12/31/05,11910.06905,27341.7317,1.9247,,,
12/31/06,12712.63566,29089.7103,3.4944,,,
12/31/07,14727.52091,33587.3566,3.1561,,,
12/31/08,16295.39111,37044.0545,0.6413,,,
12/31/09,14762.84257,33480.804,-4.3487,,,
12/31/10,14556.12214,32965.775,2.2251,,,
12/31/11,15765.15867,35767.3391,1.901,,,
12/31/12,14641.63484,33169.4057,-0.7019,,,
12/31/13,15294.85394,34564.9404,-0.0826,,,
12/31/14,15651.37275,35282.5165,1.6007,,,
12/31/15,13553.89726,30487.6524,2.3094,,,
12/31/16,13888.83347,31174.7535,1.9723,,,
12/31/17,14765.88018,33091.389,2.8448,,,
12/31/18,15981.44587,35752.5873,2.0669,,,
12/31/19,15694.05031,35080.9148,1.8053,,,
12/31/20,15381.41858,34357.12,-5.6529,,,
12/31/21,17315.12712,38720.8752,6.0087,,,
12/31/22,16761.49659,37466.6964,3.4787,,,
12/31/23,18349.38845,40823.8763,0.4507,,,