Macrotrends Data Download,,
,,
European Union GDP Per Capita 1970-2024,,
https://www.macrotrends.net/global-metrics/countries/EUU/european-union/gdp-per-capita,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
, , 
date, GDP Per Capita (US $), Annual Growth Rate (%)
1970-12-31,1879.9568,
1971-12-31,2114.105,12.45
1972-12-31,2533.8066,19.85
1973-12-31,3258.7167,28.61
1974-12-31,3667.8384,12.55
1975-12-31,4247.1189,15.79
1976-12-31,4422.5014,4.13
1977-12-31,4984.8613,12.72
1978-12-31,6045.0225,21.27
1979-12-31,7274.6662,20.34
1980-12-31,8100.2393,11.35
1981-12-31,7032.6141,-13.18
1982-12-31,6759.2034,-3.89
1983-12-31,6558.6696,-2.97
1984-12-31,6304.857,-3.87
1985-12-31,6469.4238,2.61
1986-12-31,9021.2581,39.44
1987-12-31,11126.7333,23.34
1988-12-31,12176.2763,9.43
1989-12-31,12396.1013,1.81
1990-12-31,15459.4947,24.71
1991-12-31,15971.5608,3.31
1992-12-31,17510.2288,9.63
1993-12-31,15933.0714,-9.01
1994-12-31,16835.4772,5.66
1995-12-31,19464.0939,15.61
1996-12-31,19749.8728,1.47
1997-12-31,18088.6086,-8.41
1998-12-31,18615.775,2.91
1999-12-31,18482.613,-0.72
2000-12-31,16948.3309,-8.3
2001-12-31,17198.6615,1.48
2002-12-31,18760.2139,9.08
2003-12-31,22968.0288,22.43
2004-12-31,26307.247,14.54
2005-12-31,27341.7105,3.93
2006-12-31,29089.5483,6.39
2007-12-31,33587.0265,15.46
2008-12-31,37043.6319,10.29
2009-12-31,33480.2285,-9.62
2010-12-31,32965.4364,-1.54
2011-12-31,35766.5639,8.5
2012-12-31,33170.1583,-7.26
2013-12-31,34564.928,4.2
2014-12-31,35280.7488,2.07
2015-12-31,30485.7583,-13.59
2016-12-31,31175.2159,2.26
2017-12-31,33088.6746,6.14
2018-12-31,35749.0881,8.04
2019-12-31,35077.7286,-1.88
2020-12-31,34332.645,-2.12
2021-12-31,38436.1492,11.95
2022-12-31,37149.6086,-3.35