"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,https://www.macrotrends.net/global-metrics/countries/usa/united-states/gdp-gross-domestic-product
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,
,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,
,,,,,,
Date, GDP (Billions of US $), Per Capita (US $), Annual % Change,,,
12/31/60,541.9885862,2999.8649,,,,
12/31/61,561.9403103,3059.1608,2.3,,,
12/31/62,603.6394138,3236.0131,6.1,,,
12/31/63,637.0585517,3366.3698,4.4,,,
12/31/64,684.1446207,3565.3144,5.8,,,
12/31/65,741.9048621,3818.2883,6.4,,,
12/31/66,813.0327586,4136.3083,6.5,,,
12/31/67,859.6200345,4325.9594,2.5,,,
12/31/68,940.225,4684.5884,4.8,,,
12/31/69,1017.438172,5019.9982,3.1,,,
12/31/70,1073.303,5234.2967,0.2166,,,
12/31/71,1164.85,5609.3826,3.2927,,,
12/31/72,1279.11,6094.018,5.2555,,,
12/31/73,1425.376,6726.359,5.6457,,,
12/31/74,1545.243,7225.6914,-0.5406,,,
12/31/75,1684.904,7801.4567,-0.2056,,,
12/31/76,1873.412,8592.2535,5.388,,,
12/31/77,2081.826,9452.5765,4.6242,,,
12/31/78,2351.599,10564.9482,5.5352,,,
12/31/79,2627.333,11674.1819,3.166,,,
12/31/80,2857.307,12574.7915,-0.2568,,,
12/31/81,3207.041,13976.1054,2.5377,,,
12/31/82,3343.789,14433.7877,-1.803,,,
12/31/83,3634.038,15543.8937,4.5838,,,
12/31/84,4037.613,17121.2255,7.2365,,,
12/31/85,4338.979,18236.8277,4.1696,,,
12/31/86,4579.631,19071.2272,3.4627,,,
12/31/87,4855.215,20038.9411,3.4546,,,
12/31/88,5236.438,21417.0119,4.177,,,
12/31/89,5641.58,22857.1544,3.6722,,,
12/31/90,5963.144,23888.6,1.886,,,
12/31/91,6158.129,24342.2589,-0.1083,,,
12/31/92,6520.327,25418.9908,3.5225,,,
12/31/93,6858.559,26387.2937,2.7518,,,
12/31/94,7287.236,27694.8534,4.029,,,
12/31/95,7639.749,28690.8757,2.6844,,,
12/31/96,8073.122,29967.7127,3.7728,,,
12/31/97,8577.552,31459.13,4.4471,,,
12/31/98,9062.817,32853.6726,4.4831,,,
12/31/99,9631.172,34515.3813,4.7884,,,
12/31/00,10250.952,36329.9703,4.0776,,,
12/31/01,10581.929,37133.6204,0.9555,,,
12/31/02,10929.108,37997.7424,1.7004,,,
12/31/03,11456.45,39490.3024,2.7956,,,
12/31/04,12217.196,41724.6412,3.8478,,,
12/31/05,13039.197,44123.3996,3.4835,,,
12/31/06,13815.583,46301.9876,2.7845,,,
12/31/07,14474.228,48050.2274,2.0039,,,
12/31/08,14769.862,48570.0594,0.1136,,,
12/31/09,14478.067,47194.9501,-2.5765,,,
12/31/10,15048.971,48650.6643,2.6952,,,
12/31/11,15599.732,50065.9789,1.5644,,,
12/31/12,16253.97,51784.4115,2.2891,,,
12/31/13,16880.683,53409.7508,2.1178,,,
12/31/14,17608.138,55304.3155,2.5238,,,
12/31/15,18295.019,57040.2082,2.9456,,,
12/31/16,18804.913,58206.6142,1.8195,,,
12/31/17,19612.102,60322.2614,2.4576,,,
12/31/18,20656.516,63201.0458,2.9665,,,
12/31/19,21521.395,65548.0708,2.467,,,
12/31/20,21322.95,64317.3989,-2.2135,,,
12/31/21,23594.031,71055.8762,5.8002,,,
12/31/22,25744.108,77246.6739,1.9355,,,
12/31/23,27360.935,81695.1871,2.5427,,,